raceNumber;time;contestant;score;child
30;1512821699.1612868;Bart_3_0.024610;4631.83187767;
30;1512821699.1612868;Xavi_0_23.000000;4445.95173207;
30;1512821699.1612868;Bart_2_0.313999;4431.84663849;
30;1512821699.1612868;Olga_0_14.000000;4419.4555144;RIP
31;1512821706.7001362;Anne_1_0.036003;3852.55082769;Anne_2_0.007544
31;1512821706.7001362;Bart_2_0.270291;2675.51629155;
31;1512821706.7001362;Bart_6_0.110667;2488.56555919;
31;1512821706.7001362;Bart_5_0.307371;2372.69871334;
31;1512821706.7001362;Bart_3_0.024610;2257.05505117;
31;1512821706.7001362;Carl_0_2.000000;1698.39641405;
31;1512821706.7001362;Kent_0_10.000000;1548.84395099;
31;1512821706.7001362;Xavi_0_23.000000;1294.64618356;
31;1512821706.7001362;Bart_7_0.073002;96.8642;
31;1512821706.7001362;Bart_6_0.123225;53.9377;RIP
32;1512821715.5979037;Bart_2_0.270291;3502.60917837;Bart_3_0.006520
32;1512821715.5979037;Bart_5_0.307371;3404.49312572;
32;1512821715.5979037;Bart_1_0.001727;3313.3318722;
32;1512821715.5979037;Anne_2_0.058151;3292.9987674;
32;1512821715.5979037;Bart_2_0.313999;3286.37887357;
32;1512821715.5979037;Anne_0_0.000000;3266.23850174;
32;1512821715.5979037;Bart_4_0.007138;3251.81832609;
32;1512821715.5979037;Anne_1_0.036003;3230.71612007;
32;1512821715.5979037;Kent_0_10.000000;2983.02276519;
32;1512821715.5979037;Xavi_0_23.000000;2955.50167201;RIP
33;1512821722.8523364;Bart_2_0.313999;2925.35411404;Bart_3_0.060716
33;1512821722.8523364;Anne_1_0.005707;2620.22096886;
33;1512821722.8523364;Anne_1_0.036003;2377.17047893;
33;1512821722.8523364;Bart_2_0.000097;2275.66670016;
33;1512821722.8523364;Bart_7_0.073002;1162.11809957;
33;1512821722.8523364;Anne_0_0.000000;1133.36742389;
33;1512821722.8523364;Bart_3_0.006520;1059.60862384;
33;1512821722.8523364;Fred_1_0.001553;1056.16752772;
33;1512821722.8523364;Carl_0_2.000000;1047.92216332;
33;1512821722.8523364;Bart_6_1.130999;982.310006601;RIP
34;1512821731.596569;Anne_2_0.007544;3288.20856921;Anne_3_0.004810
34;1512821731.596569;Anne_1_0.036003;3287.61093198;
34;1512821731.596569;Bart_3_0.024610;3286.61650684;
34;1512821731.596569;Anne_2_0.058151;3285.64169447;
34;1512821731.596569;Anne_1_0.005707;3226.1903996;
34;1512821731.596569;Bart_2_0.270291;3140.36290915;
34;1512821731.596569;Carl_0_2.000000;3108.24457617;
34;1512821731.596569;Uris_0_20.000000;3099.93630554;
34;1512821731.596569;Earl_0_4.000000;3064.80227385;
34;1512821731.596569;Kent_0_10.000000;3040.63708367;RIP
35;1512821743.5733933;Bart_1_0.001727;5931.00906273;Bart_2_0.216675
35;1512821743.5733933;Anne_1_0.005707;5922.07000179;
35;1512821743.5733933;Bart_6_0.110667;5872.52294988;
35;1512821743.5733933;Bart_5_0.307371;5863.05080993;
35;1512821743.5733933;Anne_0_0.000000;5666.01960464;
35;1512821743.5733933;Bart_2_0.000097;5662.17492317;
35;1512821743.5733933;Carl_0_2.000000;5577.11884328;
35;1512821743.5733933;Bart_4_0.007138;5501.46516204;
35;1512821743.5733933;Earl_0_4.000000;5109.40646549;
35;1512821743.5733933;Daan_0_3.000000;4151.71198893;RIP
36;1512821754.5079734;Bart_2_0.216675;5299.38786494;Bart_3_0.001355
36;1512821754.5079734;Anne_0_0.000000;5257.03743698;
36;1512821754.5079734;Anne_3_0.004810;5120.38152772;
36;1512821754.5079734;Bart_2_0.000097;5067.43404647;
36;1512821754.5079734;Bart_4_0.007138;5014.26802428;
36;1512821754.5079734;Bart_3_0.006520;5012.62436892;
36;1512821754.5079734;Bart_6_0.110667;5012.39992307;
36;1512821754.5079734;Anne_1_0.083448;4903.61347946;
36;1512821754.5079734;Anne_2_0.058151;4895.29628637;
36;1512821754.5079734;Carl_0_2.000000;4604.21588744;RIP
37;1512821765.5200992;Bart_2_0.000097;5489.52777765;Bart_3_0.058468
37;1512821765.5200992;Anne_1_0.036003;5478.92241982;
37;1512821765.5200992;Bart_5_0.307371;5459.18772288;
37;1512821765.5200992;Bart_3_0.006520;5370.37987929;
37;1512821765.5200992;Bart_3_0.060716;5322.30629158;
37;1512821765.5200992;Bart_2_0.216675;5101.8398835;
37;1512821765.5200992;Anne_1_0.083448;5064.43136559;
37;1512821765.5200992;Bart_3_0.001355;5057.21807995;
37;1512821765.5200992;Uris_0_20.000000;5035.18362037;
37;1512821765.5200992;Fred_1_0.001553;4821.31290797;RIP
38;1512821777.4152992;Anne_1_0.005707;6053.22105129;Anne_2_0.028141
38;1512821777.4152992;Anne_2_0.007544;6050.14294214;
38;1512821777.4152992;Bart_7_0.121911;6042.99610267;
38;1512821777.4152992;Anne_0_0.000000;6038.48174866;
38;1512821777.4152992;Bart_0_1.000000;6000.38928972;
38;1512821777.4152992;Bart_5_0.307371;5981.20263785;
38;1512821777.4152992;Bart_7_0.073002;5939.49532381;
38;1512821777.4152992;Bart_4_0.007138;5692.33217029;
38;1512821777.4152992;Anne_2_0.058151;4886.90748517;
38;1512821777.4152992;Uris_0_20.000000;2215.61700233;RIP
39;1512821789.1628768;Anne_3_0.004810;5610.88865284;Anne_4_0.720067
39;1512821789.1628768;Bart_0_1.000000;5577.49451199;
39;1512821789.1628768;Bart_2_0.270291;5439.2830513;
39;1512821789.1628768;Bart_3_0.024610;5436.0993859;
39;1512821789.1628768;Bart_2_0.216675;5384.75032064;
39;1512821789.1628768;Anne_1_0.005707;5377.18950364;
39;1512821789.1628768;Bart_3_0.060716;5262.30653357;
39;1512821789.1628768;Bart_4_0.007138;5197.90659575;
39;1512821789.1628768;Earl_0_4.000000;5084.57354983;
39;1512821789.1628768;Anne_2_0.058151;4604.44171145;RIP
40;1512821799.2819664;Bart_2_0.000097;4849.15656513;Bart_3_0.123503
40;1512821799.2819664;Anne_0_0.000000;4845.25780155;
40;1512821799.2819664;Bart_6_0.110667;4840.50601432;
40;1512821799.2819664;Bart_7_0.121911;4840.47394032;
40;1512821799.2819664;Anne_1_0.083448;4834.47482741;
40;1512821799.2819664;Bart_3_0.006520;4827.27827791;
40;1512821799.2819664;Bart_5_0.307371;4775.50836159;
40;1512821799.2819664;Bart_7_0.073002;4769.13326751;
40;1512821799.2819664;Bart_2_0.216675;4599.44371979;
40;1512821799.2819664;Bart_2_0.313999;4273.6957453;RIP
41;1512821807.2083008;Anne_1_0.005707;3749.44548209;Anne_2_0.063708
41;1512821807.2083008;Bart_0_1.000000;3663.40192684;
41;1512821807.2083008;Earl_0_4.000000;2755.0709438;
41;1512821807.2083008;Bart_4_0.007138;2574.85766056;
41;1512821807.2083008;Bart_3_0.024610;2446.92429064;
41;1512821807.2083008;Bart_5_0.307371;2428.70081314;
41;1512821807.2083008;Bart_6_0.110667;2359.74661629;
41;1512821807.2083008;Anne_3_0.004810;1630.88131339;
41;1512821807.2083008;Anne_1_0.083448;1599.3843658;
41;1512821807.2083008;Bart_2_0.000097;1595.96224244;RIP
42;1512821815.4330971;Bart_6_0.110667;3381.53426682;Bart_7_0.012524
42;1512821815.4330971;Bart_5_0.307371;3260.4378053;
42;1512821815.4330971;Bart_0_1.000000;3192.87583177;
42;1512821815.4330971;Bart_1_0.001727;3173.55616076;
42;1512821815.4330971;Bart_3_0.058468;3169.3143311;
42;1512821815.4330971;Bart_4_0.007138;3094.25610518;
42;1512821815.4330971;Bart_3_0.024610;3093.26416439;
42;1512821815.4330971;Fred_0_5.000000;3092.61826516;
42;1512821815.4330971;Bart_3_0.123503;3043.7779743;
42;1512821815.4330971;Bart_7_0.121911;68.1152;RIP
43;1512821822.5103214;Anne_2_0.007544;2840.57515284;Anne_3_0.017003
43;1512821822.5103214;Bart_3_0.060716;2797.97054248;
43;1512821822.5103214;Anne_1_0.036003;2642.02283189;
43;1512821822.5103214;Anne_3_0.004810;2375.28598516;
43;1512821822.5103214;Bart_3_0.024610;1210.72067206;
43;1512821822.5103214;Bart_7_0.012524;1176.45594459;
43;1512821822.5103214;Bart_2_0.270291;1164.81272242;
43;1512821822.5103214;Bart_3_0.058468;1075.1117508;
43;1512821822.5103214;Anne_0_0.000000;1003.90701501;
43;1512821822.5103214;Bart_3_0.006520;1003.79827073;RIP
44;1512821831.1396651;Bart_5_0.307371;3505.30497663;Bart_6_0.048490
44;1512821831.1396651;Anne_1_0.005707;3416.28075018;
44;1512821831.1396651;Anne_2_0.007544;3382.97269638;
44;1512821831.1396651;Anne_2_0.028141;3375.09923391;
44;1512821831.1396651;Bart_2_0.270291;3374.37771216;
44;1512821831.1396651;Bart_4_0.007138;3336.4711874;
44;1512821831.1396651;Anne_3_0.017003;3268.08800787;
44;1512821831.1396651;Bart_2_0.216675;3263.92611998;
44;1512821831.1396651;Bart_3_0.123503;3226.8906075;
44;1512821831.1396651;Anne_4_0.720067;19.0037;RIP
45;1512821843.6134298;Bart_6_0.110667;5983.95424019;Bart_7_0.125885
45;1512821843.6134298;Bart_6_0.048490;5982.66821673;
45;1512821843.6134298;Bart_7_0.012524;5977.48072776;
45;1512821843.6134298;Anne_1_0.036003;5935.33060768;
45;1512821843.6134298;Bart_3_0.060716;5890.77290727;
45;1512821843.6134298;Bart_3_0.058468;5884.31142537;
45;1512821843.6134298;Bart_1_0.001727;5833.31736965;
45;1512821843.6134298;Bart_2_0.270291;5780.85539637;
